player_id,name,url,position,score,hometown,offers,state
118,Fred Davis II,https://247sports.com/player/fred-davis-ii-46037551/high-school,CB ,0.9743," Trinity Christian Academy (Jacksonville, FL)                    ","['Clemson', 'Alabama', 'Arizona', 'Auburn', 'Colorado', 'Duke', 'FIU', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Kansas', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Mississippi State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Penn State', 'Purdue', 'Rutgers', 'South Carolina', 'Tennessee', 'Texas', 'UCF', 'USF', 'Valdosta State', 'Virginia Tech', 'Georgia Tech']",FL
119,E.J. Williams,https://247sports.com/player/e-j-williams-46049986/high-school,WR ,0.9685," Central (Phenix City, AL)                    ","['Clemson', 'Auburn', 'LSU', 'Tennessee', 'Alabama', 'Arkansas', 'Cincinnati', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Memphis', 'Mississippi State', 'Nebraska', 'Oklahoma', 'Ole Miss', 'Oregon', 'South Carolina', 'Texas A&M', 'Virginia', 'Virginia Tech', 'West Virginia', 'Georgia Tech']",AL
120,Mitchell Mayes,https://247sports.com/player/mitchell-mayes-46051711/high-school,OG ,0.9348," Leesville Road (Raleigh, NC)                    ","['Clemson', 'Appalachian State', 'Auburn', 'Boston College', 'Colorado', 'Duke', 'East Carolina', 'Florida State', 'Georgia', 'Georgia Tech', 'Louisville', 'Mississippi State', 'NC State', 'North Carolina', 'Penn State', 'Syracuse', 'Tennessee', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia']",NC
121,Sergio Allen,https://247sports.com/player/sergio-allen-46042574/high-school,ILB ,0.9183," Peach County (Fort Valley, GA)                    ","['Clemson', 'Alabama', 'Auburn', 'Florida', 'Georgia', 'LSU', 'Michigan', 'Ole Miss', 'Penn State', 'South Carolina', 'Tennessee', 'Vanderbilt', 'Georgia Tech']",GA
122,RJ Mickens,https://247sports.com/player/rj-mickens-91595/high-school,S ,0.9181," Southlake Carroll (Southlake, TX)                    ","['Clemson', 'Alabama', 'Arizona', 'Arkansas', 'Baylor', 'Duke', 'Florida', 'Georgia', 'Houston', 'LSU', 'Miami', 'Michigan', 'Mississippi State', 'Nebraska', 'New Mexico', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Penn State', 'Rutgers', 'San Diego State', 'SMU', 'South Carolina', 'Stanford', 'Tennessee', 'Texas A&M', 'Vanderbilt', 'Wisconsin']",TX
123,Kevin Swint,https://247sports.com/player/kevin-swint-46036484/high-school,ILB ,0.9072," Carrollton (Carrollton, GA)                    ","['Clemson', 'Alabama', 'Auburn', 'Florida', 'Georgia', 'Georgia Tech', 'Indiana', 'Kentucky', 'Louisville', 'LSU', 'Memphis', 'Miami', 'Michigan', 'Missouri', 'Nebraska', 'Notre Dame', 'Ohio State', 'South Carolina', 'Stanford', 'Tennessee', 'Texas A&M', 'UCF', 'Wake Forest', 'Wisconsin']",GA
124,Bryn Tucker,https://247sports.com/player/bryn-tucker-45572456/high-school,OG ,0.9015," Knoxville Catholic (Knoxville, TN)                    ","['Clemson', 'Alabama', 'Auburn', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Louisville', 'LSU', 'Memphis', 'Mississippi State', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Purdue', 'South Carolina', 'Tennessee', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Arkansas', 'Florida State', 'Georgia', 'Kentucky']",TN
125,Sage Ennis,https://247sports.com/player/sage-ennis-46081869/high-school,TE ,0.8722," Lincoln (Tallahassee, FL)                    ","['Clemson', 'Air Force', 'Appalachian State', 'Cincinnati', 'Coastal Carolina', 'Columbia', 'Cornell', 'Dartmouth', 'Eastern Michigan', 'FIU', 'Florida A&M', 'Florida Atlantic', 'Florida State', 'Georgia Southern', 'Georgia State', 'Harvard', 'Jacksonville State', 'Louisville', 'Marshall', 'Maryland', 'Memphis', 'Miami', 'NC State', 'Ole Miss', 'Penn State', 'Princeton', 'Rice', 'Rutgers', 'South Alabama', 'South Carolina', 'Southern Miss', 'Tennessee State', 'Troy', 'Tulane', 'UAB', 'UCF', 'USF', 'West Virginia', 'William & Mary', 'Yale', 'Ole Miss']",FL
126,Tyler Venables,https://247sports.com/player/tyler-venables-94711/high-school,S ,0.8498," D W Daniel (Central, SC)                    ","['Clemson', 'Coastal Carolina', 'Jacksonville State', 'Nevada', 'Wake Forest', 'Arizona State', 'Miami', 'Oklahoma', 'SMU']",SC
136,Clark Phillips III,https://247sports.com/player/clark-phillips-iii-46038933/high-school,CB ,0.9747," La Habra (La Habra, CA)                    ","['Utah', 'California', 'Ohio State', 'USC', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'Brigham Young', 'Clemson', 'Colorado', 'Colorado State', 'Florida', 'Fresno State', 'Georgia', 'Iowa State', 'Kansas State', 'LSU', 'Michigan', 'Nebraska', 'Nevada', 'New Mexico', 'Notre Dame', 'Oklahoma', 'Oregon', 'Oregon State', 'Penn State', 'San Jose State', 'South Carolina', 'Tennessee', 'Texas', 'Texas A&M', 'UCLA', 'Vanderbilt', 'Washington', 'Washington State', 'Boise State', 'Eastern Washington']",CA
137,Ben Renfro,https://247sports.com/player/ben-renfro-46085131/high-school,S ,0.8389," Magnolia (Magnolia, TX)    ","['Utah', 'Air Force', 'Army', 'Montana State', 'Navy']",TX
183,Ky Thomas,https://247sports.com/player/ky-thomas-46035350/high-school,RB ,0.8863," Topeka (Topeka, KS)                    ","['Minnesota', 'Iowa', 'Kansas', 'Kansas State', 'Louisiana Tech', 'Arkansas', 'Miami', 'Michigan', 'Nebraska', 'Oklahoma State', 'TCU', 'USC']",KS
