player_id,name,url,position,score,hometown,offers,state
27,Jeremiah Houston,https://247sports.com/player/jeremiah-houston-46079279/high-school,CB ,0.8045," Long Beach City College (Long Beach, CA)  ",,CA
28,Kue Olotoa,https://247sports.com/player/kue-olotoa-46099322/high-school,OLB ,," Riverside C.C. (Riverside, CA)                 ",,CA
29,Brennon Scott,https://247sports.com/player/brennon-scott-46042133,ILB ,0.8791," Bishop Dunne (Dallas, TX)    ","['UNLV', 'Kansas', 'USC', 'Arizona', 'Arizona State', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Colorado', 'Florida', 'Georgia', 'Georgia Tech', 'Houston', 'Indiana', 'Iowa', 'Kansas State', 'Kentucky', 'LSU', 'Michigan State', 'Minnesota', 'Mississippi State', 'Missouri', 'Nebraska', 'North Texas', 'Oklahoma', 'Ole Miss', 'Oregon', 'Purdue', 'SMU', 'Syracuse', 'Texas', 'Texas A&M', 'UTSA']",TX
30,LeShaun Bell,https://247sports.com/player/leshaun-bell-46081091,WDE ,0.8585," Calabasas (Calabasas, CA)    ","['UNLV', 'Arizona State', 'Washington State', 'Colorado State', 'Fresno State', 'Hawaii', 'Nevada', 'New Mexico', 'Oregon State', 'San Jose State', 'Washington State', 'Wyoming', 'Brigham Young', 'California', 'Colorado', 'Kansas State', 'Notre Dame', 'Oregon', 'Texas', 'UCLA', 'Washington']",CA
31,Alex Lines,https://247sports.com/player/alex-lines-46058321,TE ,0.8498," Higley (Gilbert, AZ)  ","['UNLV', 'Boise State', 'Brigham Young', 'Colorado', 'Iowa State', 'Louisville', 'Memphis', 'Northern Arizona', 'Oregon State', 'Syracuse', 'Utah', 'Utah State']",AZ
32,Alven Johnson,https://247sports.com/player/alven-johnson-46082401,DT ,0.8498," Thrive Academy (Baton Rouge, LA)                  ","['UNLV', 'Baylor', 'Louisiana', 'Louisiana Tech', 'UAB', 'Virginia', 'Tulane']",LA
33,Kyle Williams,https://247sports.com/player/kyle-williams-46055929,ATH ,0.8399," St Monica Catholic (Santa Monica, CA)    ","['UNLV', 'Colorado State', 'San Diego State', 'San Jose State', 'Nevada', 'New Mexico', 'Northern Arizona', 'Utah', 'William & Mary', 'Cal Poly', 'California', 'Fresno State', 'Nebraska', 'Oregon', 'San Jose State', 'Utah State', 'UTEP']",CA
34,Doug Brumfield,https://247sports.com/player/doug-brumfield-46041590,PRO ,0.8376," Junipero Serra (Gardena, CA)    ","['UNLV', 'Kansas', 'Nevada', 'Rutgers', 'Utah', 'William & Mary', 'California', 'Colorado', 'Illinois', 'UCLA', 'USC', 'Washington']",CA
35,Jalen Dixon,https://247sports.com/player/jalen-dixon-46058831,WDE ,0.8349," O'Dea (Seattle, WA)    ","['UNLV', 'Eastern Washington', 'Montana State', 'Idaho', 'Nevada', 'Portland State']",WA
36,Kaleo Ballungay,https://247sports.com/player/kaleo-ballungay-46080241,TE ,0.8288," Kimball (Tracy, CA)    ","['UNLV', 'California', 'Fresno State', 'Kansas State', 'Nevada', 'Oregon State', 'San Diego State', 'Utah State', 'Wyoming', 'Yale', 'Oregon', 'UCLA']",CA
37,Ricky Johnson,https://247sports.com/player/ricky-johnson-46081322,S ,0.8248," Cy Falls (Houston, TX)    ","['UNLV', 'UTEP', 'Abilene Christian', 'Air Force', 'Army', 'Fordham', 'Grambling State', 'Incarnate Word', 'Lamar', 'Louisiana Tech', 'Navy', 'Northern Iowa', 'Prairie View A&M', 'Rice', 'Texas Southern', 'UNLV', 'Utah State', 'SMU', 'TCU', 'Texas Tech']",TX
38,Waisale Muavesi,https://247sports.com/player/waisale-muavesi-46057174,DT ,0.8247," Timpview (Provo, UT)    ","['UNLV', 'Washington State', 'Idaho', 'Northern Arizona', 'UCLA', 'Brigham Young', 'California', 'Colorado', 'Utah', 'Utah State', 'Washington']",UT
39,Marcus Miller,https://247sports.com/player/marcus-miller-46077138,OG ,0.8236," Castro Valley (Castro Valley, CA)    ","['UNLV', 'Hawaii', 'Nevada', 'Sacramento State', 'San Jose State', 'Utah State', 'Wyoming', 'Arizona State', 'California', 'Oregon', 'UCLA']",CA
40,Alani Makihele,https://247sports.com/player/alani-makihele-46080238,OG ,0.8194," West (Anchorage, AK)    ","['UNLV', 'Hawaii', 'Idaho', 'Montana State', 'Morgan State', 'Oregon State']",AK
41,Princeton Lollar Jr.,https://247sports.com/player/princeton-lollar-jr-93515,ILB ,0.8175," Hutchinson C.C. (Hutchinson, KS)    ",['UNLV'],KS
42,Nohl Williams,https://247sports.com/player/nohl-williams-46080418,CB ,0.8173," Pacifica (Oxnard, CA)    ","['UNLV', 'Eastern Washington', 'Montana State', 'Northern Arizona', 'Sacramento State', 'San Jose State', 'South Dakota', 'UC Davis']",CA
43,Kalvin Souders,https://247sports.com/player/kalvin-souders-46049886,WR ,0.8152," Central Catholic (Portland, OR)  ","['UNLV', 'Idaho State', 'Navy']",OR
44,Tiger Shanks,https://247sports.com/player/tiger-shanks-46048396,OT ,0.8123," Lake Oswego (Lake Oswego, OR)    ","['UNLV', 'Idaho', 'Idaho State', 'Sacramento State', 'San Jose State', 'Brown', 'Harvard', 'Oregon', 'Oregon State', 'Pennsylvania', 'Princeton', 'UNLV', 'Washington State', 'Yale']",OR
45,Tyson Player,https://247sports.com/player/tyson-player-46094839,S ,0.8112," Ridge View (Columbia, SC)    ","['UNLV', 'Howard', 'Air Force', 'Army', 'Campbell', 'Charlotte', 'Chattanooga', 'Colgate', 'East Tennessee State', 'Fordham', 'Furman', 'Gardner-Webb', 'Georgia State', 'Holy Cross', 'Kent State', 'Lehigh', 'Mercer', 'Sacred Heart', 'Savannah State', 'South Carolina State', 'Tennessee Tech', 'Valparaiso', 'William & Mary', 'Wofford', 'Georgia State', 'Tennessee', 'Western Carolina']",SC
46,Jeminai Leuta-Ulu,https://247sports.com/player/jeminai-leuta-ulu-46083120,OG ,0.8079," Servite (Anaheim, CA)    ","['UNLV', 'San Jose State', 'South Dakota', 'UAB']",CA
47,Zyell Griffin,https://247sports.com/player/zyell-griffin-46080720,WR ,0.8058," Evergreen (Vancouver, WA)    ","['UNLV', 'Eastern Washington', 'Utah State']",WA
48,Ose Egbase,https://247sports.com/player/ose-egbase-46096752,OLB ,0.8053," Crespi (Encino, CA)  ","['UNLV', 'Dixie State', 'Southern Utah']",CA
49,Daniel Caloca,https://247sports.com/player/daniel-caloca-46098732,DT ,0.7871," Brawley (Brawley, CA)    ","['UNLV', 'Idaho State', 'New Mexico State']",CA
50,Spencer Briggs,https://247sports.com/player/spencer-briggs-46099396,RB ,0.7697," Gallatin Senior (Gallatin, TN)  ",['UNLV'],TN
51,Charlton Butt,https://247sports.com/player/charlton-butt-46099323,P ,0.7496," ProKick Australia (Australia, AUST)  ",['UNLV'],AU
52,Tanner Brown,https://247sports.com/player/tanner-brown-46099344,K ,0.75," College of the Canyons (Valencia, CA)  ",['UNLV'],CA
53,Valen Penn,https://247sports.com/player/valen-penn-46098580,LS ,0.7396," James Madison (San Antonio, TX)  ","['UNLV', 'UTSA']",TX
54,Logan Loya,https://247sports.com/player/logan-loya-46047339/high-school,WR ,0.8958," St. John Bosco (Bellflower, CA)                    ",,CA
55,John Humphrey,https://247sports.com/player/john-humphrey-46079589/high-school,CB ,0.8884," John Muir (Pasadena, CA)                    ",,CA
56,Choe Bryant-Strother,https://247sports.com/player/choe-bryant-strother-46052981/high-school,ILB ,0.883," Greater Atlanta Christian School (Norcross, GA)                    ",,GA
57,Mitchell Agude,https://247sports.com/player/mitchell-agude-46079579/high-school,WDE ,0.8797," Riverside C.C. (Riverside, CA)                    ",,CA
58,Kenny Mestidor,https://247sports.com/player/kenny-mestidor-46051999/high-school,WDE ,0.8721," St. Thomas More (Oakdale, CT)                    ",,CT
59,Caleb Johnson,https://247sports.com/player/caleb-johnson-46056538/high-school,ILB ,0.8669," Fullerton College (Fullerton, CA)                    ",,CA
60,Myles Jackson,https://247sports.com/player/myles-jackson-46056600/high-school,WDE ,0.8618," Mill Creek (Hoschton, GA)                    ",,GA
61,Damian Sellers,https://247sports.com/player/damian-sellers-46050068,OLB ,0.9224," Saguaro (Scottsdale, AZ)                  ","['UCLA', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'Florida', 'LSU', 'Memphis', 'Michigan', 'Oklahoma', 'Oregon', 'Penn State', 'Purdue', 'Tennessee', 'Texas', 'USC', 'Utah', 'Washington', 'Wisconsin']",AZ
62,Parker McQuarrie,https://247sports.com/player/parker-mcquarrie-46054816,PRO ,0.9077," St. Paul's School (Concord, NH)                  ","['UCLA', 'Boston College', 'Massachusetts', 'Miami', 'Michigan', 'Minnesota', 'Missouri', 'Pittsburgh', 'Purdue', 'Rhode Island', 'Rutgers', 'Wisconsin', 'North Carolina', 'Ohio State', 'Penn State', 'Washington']",NH
63,Jonathan Vaughns,https://247sports.com/player/jonathan-vaughns-46047340,OLB ,0.8937," St. John Bosco (Bellflower, CA)                  ","['UCLA', 'Arizona', 'LSU', 'Oregon State', 'Penn State', 'USC']",CA
64,Matt Sykes,https://247sports.com/player/matt-sykes-46047043,WR ,0.8843," St Louis School (Honolulu, HI)                    ","['UCLA', 'California', 'Brigham Young', 'Dartmouth', 'Dixie State', 'Fresno State', 'Harvard', 'Hawaii', 'Kansas State', 'Navy', 'Nebraska', 'Oregon', 'Princeton', 'Utah', 'Wisconsin', 'Yale', 'Colorado State', 'Nevada', 'Notre Dame', 'Stanford', 'Washington']",HI
65,Jay Max Jacobsen,https://247sports.com/player/jay-max-jacobsen-46059397,SDE ,0.8681," Temecula Valley (Temecula, CA)                  ","['UCLA', 'San Diego State', 'San Jose State', 'Utah State', 'California', 'Fresno State']",CA
66,Jake Newman,https://247sports.com/player/jake-newman-46054045,S ,0.8585," St. John Bosco (Bellflower, CA)                  ","['UCLA', 'Colorado', 'Duke', 'Louisville', 'Penn State', 'Wisconsin']",CA
67,Bruno Fina,https://247sports.com/player/bruno-fina-46082210,OG ,0.8559," Salpointe Catholic (Tucson, AZ)                  ","['UCLA', 'Arizona', 'Abilene Christian', 'Arizona State', 'Boston College', 'Nevada', 'Oregon State', 'USC', 'Vanderbilt', 'Washington State', 'Yale', 'Brown']",AZ
68,DJ Warnell,https://247sports.com/player/dj-warnell-46049997,CB ,0.852," Dickinson (Dickinson, TX)                  ","['UCLA', 'Arizona', 'Boston College', 'Houston Baptist', 'Louisiana', 'Massachusetts', 'New Mexico State', 'Purdue', 'Rice', 'Southern Miss', 'Syracuse', 'Tennessee', 'Texas State', 'Texas Tech', 'Tulsa', 'UNLV', 'Utah']",TX
69,Patrick Selna,https://247sports.com/player/patrick-selna-46081611,OT ,0.8511," Piedmont (Oakland, CA)                  ","['UCLA', 'Tulane', 'Air Force', 'Hawaii', 'Nevada', 'New Mexico State', 'San Jose State', 'Wyoming', 'California']",CA
70,Ioholani Raass,https://247sports.com/player/ioholani-raass-46079924,WDE ,0.8484," Skyridge (Lehi, UT)                  ","['UCLA', 'Brigham Young', 'Colorado', 'Utah State', 'Washington State', 'Boise State', 'UNLV', 'Utah']",UT
71,Jeremiah Trojan,https://247sports.com/player/jeremiah-trojan-46051087,ILB ,0.8402," Hamilton (Chandler, AZ)                    ","['UCLA', 'Abilene Christian', 'Air Force', 'Army', 'Ball State', 'Colgate', 'Columbia', 'Cornell', 'Dartmouth', 'Georgetown', 'Navy', 'New Mexico State', 'Northern Arizona', 'Pennsylvania', 'Princeton', 'Utah State', 'Yale', 'Arizona State', 'Georgia', 'Georgia State', 'Wisconsin']",AZ
72,Luke Akers,https://247sports.com/player/luke-akers-46082154,K ,0.8317," Ravenwood (Brentwood, TN)                  ","['UCLA', 'Yale', 'Louisville']",TN
73,Joquarri Price,https://247sports.com/player/joquarri-price-46084207,OLB ,0.8262," Desert Ridge (Mesa, AZ)                  ","['UCLA', 'San Diego State', 'Rice']",AZ
74,Andrew Gentry,https://247sports.com/player/andrew-gentry-46050894,OT ,0.963," Columbine (Littleton, CO)    ","['Virginia', 'Brigham Young', 'Michigan', 'Notre Dame', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'California', 'Colorado', 'Colorado State', 'Florida', 'Kansas', 'Kansas State', 'LSU', 'Miami', 'Missouri', 'Nebraska', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Penn State', 'Stanford', 'Tennessee', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Washington State', 'Wisconsin', 'Arizona State', 'Clemson', 'Duke', 'Georgia']",CO
75,Jonathan Horton,https://247sports.com/player/jonathan-horton-46085249,WDE ,0.8983," Scotlandville Magnet (Baton Rouge, LA)    ","['Virginia', 'Baylor', 'Utah', 'Arizona', 'Mississippi State', 'Ole Miss', 'SMU', 'Southeastern Louisiana', 'Tennessee', 'Tulane']",LA
76,Brandon Williams,https://247sports.com/player/brandon-williams-46055966,OLB ,0.8862," Isidore Newman (New Orleans, LA)    ","['Virginia', 'Arkansas', 'Boston College', 'Colorado', 'Florida', 'Houston', 'Kansas', 'Kentucky', 'Miami', 'Oklahoma State', 'Purdue', 'SMU', 'Southern Miss', 'Southern University', 'Tennessee', 'Texas A&M', 'Tulane', 'Alabama', 'LSU']",LA
77,Elijah Gaines,https://247sports.com/player/elijah-gaines-46078864,S ,0.8776," Episcopal (Alexandria, VA)    ","['Virginia', 'Penn State', 'Boston College', 'Duke', 'East Carolina', 'Georgia Tech', 'Michigan', 'North Carolina', 'Notre Dame', 'Pittsburgh', 'Purdue', 'Rutgers', 'Virginia Tech', 'Wake Forest', 'Wisconsin']",VA
78,Donovan Johnson,https://247sports.com/player/donovan-johnson-46055724,S ,0.8647," Helen Cox (Harvey, LA)    ","['Virginia', 'Arizona', 'Arkansas', 'Arizona State', 'Baylor', 'Colorado', 'FIU', 'Georgia Tech', 'Houston', 'Indiana', 'Kansas', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Miami', 'Oklahoma', 'Rutgers', 'SMU', 'South Alabama', 'Southeastern Louisiana', 'Southern Miss', 'Southern University', 'Texas Tech', 'Tulane', 'UNLV', 'Utah', 'Utah State', 'UTSA', 'West Virginia']",LA
79,Jahmeer Carter,https://247sports.com/player/jahmeer-carter-46048619,DT ,0.8633," Archbishop Spalding (Severn, MD)    ","['Virginia', 'Boston College', 'Howard', 'Temple', 'Maryland', 'Michigan', 'Ohio State', 'Penn State', 'Rutgers']",MD
80,Olasunkonmi Agunloye,https://247sports.com/player/olasunkonmi-agunloye-46084247,SDE ,0.8593," Lindenhurst (Lindenhurst, NY)    ","['Virginia', 'UCLA', 'Air Force', 'Army', 'Boston College', 'Connecticut', 'Dartmouth', 'Elon', 'Fordham', 'Holy Cross', 'Indiana', 'Massachusetts', 'Monmouth', 'New Hampshire', 'Pennsylvania', 'Pittsburgh', 'Rutgers', 'Stony Brook', 'Syracuse', 'Villanova', 'Harvard', 'Navy', 'Penn State', 'Yale']",NY
81,Lavel Davis,https://247sports.com/player/lavel-davis-46056594,WR ,0.8519," Woodland (Dorchester, SC)  ","['Virginia', 'Appalachian State', 'Coastal Carolina', 'Georgia Tech', 'Liberty', 'Oregon', 'Western Kentucky', 'Clemson', 'East Carolina', 'NC State', 'South Carolina', 'Virginia Tech']",SC
82,Joshua Rawlings,https://247sports.com/player/joshua-rawlings-46054410,TE ,0.8506," Woodland Hills (Pittsburgh, PA)    ","['Virginia', 'Iowa State', 'Minnesota', 'Pittsburgh', 'Akron', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'East Carolina', 'Howard', 'Indiana', 'Kent State', 'Liberty', 'Marshall', 'Maryland', 'Massachusetts', 'Ohio', 'Syracuse', 'Temple', 'Toledo', 'Vanderbilt', 'West Virginia', 'Western Michigan', 'William & Mary', 'Yale', 'FIU', 'Virginia Tech']",PA
83,Jestus Johnson,https://247sports.com/player/jestus-johnson-46056369,OC ,0.8484," Gonzaga  (Washington, DC)    ","['Virginia', 'Cincinnati', 'East Carolina', 'Howard', 'Massachusetts', 'Old Dominion', 'Rutgers', 'West Virginia', 'Virginia Tech']",DC
84,Sam Brady,https://247sports.com/player/sam-brady-46084040,OLB ,0.8464," North Lincoln (Lincolnton, NC)    ",['Virginia'],NC
85,Dave Herard,https://247sports.com/player/dave-herard-46083131,CB ,0.8451," Stranahan (Fort Lauderdale, FL)    ","['Virginia', 'Boston College', 'Buffalo', 'Columbia', 'Cornell', 'Dartmouth', 'Eastern Michigan', 'FIU', 'Florida Atlantic', 'Indiana', 'Kansas', 'Marshall', 'Minnesota', 'Northern Illinois', 'Rutgers', 'Syracuse', 'Toledo', 'Tulane', 'USF', 'Utah', 'Western Kentucky']",FL
86,Nusi Malani,https://247sports.com/player/nusi-malani-46078804,SDE ,0.8444," Junipero Serra (San Mateo, CA)    ","['Virginia', 'Arizona', 'Nebraska', 'Washington State', 'Arizona State', 'Boise State', 'Brigham Young', 'Colorado', 'Colorado State', 'Hawaii', 'Utah State']",CA
87,Ira Armstead,https://247sports.com/player/ira-armstead-46051880,ATH ,0.837," Adams (South Bend, IN)    ","['Virginia', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Cincinnati', 'Dartmouth', 'Eastern Kentucky', 'Eastern Michigan', 'Fordham', 'Illinois State', 'Indiana State', 'Kent State', 'Miami (OH)', 'Princeton', 'South Dakota', 'Toledo', 'Western Illinois', 'Western Michigan', 'Youngstown State']",IN
88,Demick Starling,https://247sports.com/player/demick-starling-46094170,WR ,0.8114," East Nashville Magnet School (Nashville, TN)  ","['Virginia', 'Alabama A&M', 'Austin Peay', 'East Tennessee State', 'Liberty', 'Miami (OH)', 'Southeast Missouri State', 'Tennessee State', 'Tennessee Tech', 'Toledo', 'Western Michigan', 'William & Mary']",TN
89,Lorenz Terry,https://247sports.com/player/lorenz-terry-46094196,SDE ,0.841," Varina (Richmond, VA)    ","['Virginia', 'James Madison', 'Massachusetts']",VA
90,Tyler Berrong,https://247sports.com/player/tyler-berrong-46042222,OLB ,0.8567," Atlantic (Port Orange, FL)  ","['Kent State', 'Eastern Kentucky', 'USF', 'Colorado State', 'Connecticut', 'FIU', 'Florida', 'Florida Atlantic', 'Indiana', 'Marshall', 'Minnesota', 'Missouri', 'Nebraska', 'North Carolina', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Troy', 'UCF', 'Wake Forest', 'West Virginia', 'Georgia Tech']",FL
91,CJ West,https://247sports.com/player/cj-west-46081873,DT ,0.8473," Nazareth Academy (La Grange Park, IL)                  ","['Kent State', 'Minnesota', 'Bowling Green', 'Eastern Illinois', 'Illinois State', 'Northern Illinois', 'Toledo', 'Western Michigan', 'Iowa State']",IL
92,Luke Floriea,https://247sports.com/player/luke-floriea-46079610,WR ,0.8322," Mentor (Mentor, OH)    ","['Kent State', 'Air Force', 'Ball State', 'Boston College', 'Fordham', 'Lehigh', 'Massachusetts', 'Robert Morris', 'Sacred Heart', 'Yale', 'Akron', 'Bowling Green', 'Miami (OH)']",OH
93,Michael West,https://247sports.com/player/michael-west-46079704,WDE ,0.8286," Christian Brothers College (Saint Louis, MO)  ","['Kent State', 'Northern Iowa', 'South Dakota', 'Southern Illinois', 'UT Martin', 'Western Illinois', 'Wyoming', 'Ball State', 'Illinois', 'Iowa', 'Kansas State', 'Kentucky', 'Nebraska', 'Ohio State', 'Wisconsin']",MO
94,Griffin Brewster,https://247sports.com/player/griffin-brewster-94314,PRO ,0.8268," Darlington School (Rome, GA)    ","['Kent State', 'Bowling Green', 'Colorado State', 'Columbia', 'Louisville', 'Oklahoma State', 'Southern Miss', 'Alabama', 'Georgia', 'South Carolina']",GA
95,Tyler Roberson,https://247sports.com/player/tyler-roberson-46083799,SDE ,0.8227," Trinity (Louisville, KY)  ","['Kent State', 'Ball State', 'Eastern Illinois', 'Western Michigan', 'Bowling Green', 'Cincinnati', 'Eastern Kentucky', 'Louisville', 'Miami (OH)', 'Purdue', 'Southern Illinois', 'Wake Forest', 'West Virginia', 'Western Kentucky', 'Wofford']",KY
96,Reignings Awah,https://247sports.com/player/reignings-awah-46085085,WDE ,0.8154," Clarkson Football North (Mississauga, ON)    ",['Kent State'],ON
97,Jasper Robinson,https://247sports.com/player/jasper-robinson-46056765,TE ,0.8118," McKinley (Canton, OH)    ","['Kent State', 'Akron', 'Ball State', 'Toledo', 'Kentucky', 'Louisville']",OH
98,Savion Washington,https://247sports.com/player/savion-washington-46081225,OT ,0.8118," St. Vincent-St. Mary (Akron, OH)    ","['Kent State', 'Akron', 'Bowling Green']",OH
99,Marcellus Marshall,https://247sports.com/player/marcellus-marshall-46085851,OT ,0.8104," Morgantown (Morgantown, WV)  ","['Kent State', 'Bowling Green', 'Central Michigan', 'Eastern Kentucky', 'Fordham', 'Marshall', 'Robert Morris', 'Villanova', 'Virginia Military Institute', 'Youngstown State', 'Wake Forest', 'West Virginia']",WV
100,Luke Murphy,https://247sports.com/player/luke-murphy-46083492,S ,0.8091," Washington (Massillon, OH)    ",['Kent State'],OH
101,Marquez Cooper,https://247sports.com/player/marquez-cooper-46083523,RB ,0.8072," Quince Orchard (Gaithersburg, MD)    ","['Kent State', 'Buffalo', 'Massachusetts', 'New Hampshire']",MD
