player_id,name,url,position,score,hometown,offers,state
26,Dylan Downing,https://247sports.com/player/dylan-downing-45573225/high-school,RB ,0.8287," Carmel (Carmel, IN)    ",,IN
27,Jeremiah Houston,https://247sports.com/player/jeremiah-houston-46079279/high-school,CB ,0.8045," Long Beach City College (Long Beach, CA)  ",,CA
28,Kue Olotoa,https://247sports.com/player/kue-olotoa-46099322/high-school,OLB ,," Riverside C.C. (Riverside, CA)                 ",,CA
54,Logan Loya,https://247sports.com/player/logan-loya-46047339/high-school,WR ,0.8958," St. John Bosco (Bellflower, CA)                    ",,CA
55,John Humphrey,https://247sports.com/player/john-humphrey-46079589/high-school,CB ,0.8884," John Muir (Pasadena, CA)                    ",,CA
56,Choe Bryant-Strother,https://247sports.com/player/choe-bryant-strother-46052981/high-school,ILB ,0.883," Greater Atlanta Christian School (Norcross, GA)                    ",,GA
57,Mitchell Agude,https://247sports.com/player/mitchell-agude-46079579/high-school,WDE ,0.8797," Riverside C.C. (Riverside, CA)                    ",,CA
58,Kenny Mestidor,https://247sports.com/player/kenny-mestidor-46051999/high-school,WDE ,0.8721," St. Thomas More (Oakdale, CT)                    ",,CT
59,Caleb Johnson,https://247sports.com/player/caleb-johnson-46056538/high-school,ILB ,0.8669," Fullerton College (Fullerton, CA)                    ",,CA
60,Myles Jackson,https://247sports.com/player/myles-jackson-46056600/high-school,WDE ,0.8618," Mill Creek (Hoschton, GA)                    ",,GA
113,Bryan Bresee,https://247sports.com/player/bryan-bresee-46038819/high-school,DT ,0.9995," Damascus (Damascus, MD)                    ",,MD
114,Myles Murphy,https://247sports.com/player/myles-murphy-46042886/high-school,SDE ,0.9965," Hillgrove (Powder Springs, GA)                    ",,GA
115,DJ Uiagalelei,https://247sports.com/player/dj-uiagalelei-45573350/high-school,PRO ,0.9949," St. John Bosco (Bellflower, CA)                    ",,CA
116,Trenton Simpson,https://247sports.com/player/trenton-simpson-46048683/high-school,OLB ,0.9871," Mallard Creek (Charlotte, NC)                    ",,NC
117,Demonte Capehart,https://247sports.com/player/demonte-capehart-46042893/high-school,DT ,0.9832," IMG Academy (Bradenton, FL)                    ",,FL
118,Fred Davis II,https://247sports.com/player/fred-davis-ii-46037551/high-school,CB ,0.9743," Trinity Christian Academy (Jacksonville, FL)                    ",,FL
119,E.J. Williams,https://247sports.com/player/e-j-williams-46049986/high-school,WR ,0.9685," Central (Phenix City, AL)                    ",,AL
120,Mitchell Mayes,https://247sports.com/player/mitchell-mayes-46051711/high-school,OG ,0.9348," Leesville Road (Raleigh, NC)                    ",,NC
121,Sergio Allen,https://247sports.com/player/sergio-allen-46042574/high-school,ILB ,0.9183," Peach County (Fort Valley, GA)                    ",,GA
122,RJ Mickens,https://247sports.com/player/rj-mickens-91595/high-school,S ,0.9181," Southlake Carroll (Southlake, TX)                    ",,TX
123,Kevin Swint,https://247sports.com/player/kevin-swint-46036484/high-school,ILB ,0.9072," Carrollton (Carrollton, GA)                    ",,GA
124,Bryn Tucker,https://247sports.com/player/bryn-tucker-45572456/high-school,OG ,0.9015," Knoxville Catholic (Knoxville, TN)                    ",,TN
125,Sage Ennis,https://247sports.com/player/sage-ennis-46081869/high-school,TE ,0.8722," Lincoln (Tallahassee, FL)                    ",,FL
126,Tyler Venables,https://247sports.com/player/tyler-venables-94711/high-school,S ,0.8498," D W Daniel (Central, SC)                    ",,SC
136,Clark Phillips III,https://247sports.com/player/clark-phillips-iii-46038933/high-school,CB ,0.9747," La Habra (La Habra, CA)                    ",,CA
137,Ben Renfro,https://247sports.com/player/ben-renfro-46085131/high-school,S ,0.8389," Magnolia (Magnolia, TX)    ",,TX
183,Ky Thomas,https://247sports.com/player/ky-thomas-46035350/high-school,RB ,0.8863," Topeka (Topeka, KS)                    ",,KS
184,Jaqwondis Burns,https://247sports.com/player/jaqwondis-burns-46078938/high-school,OLB ,0.8709," IMG Academy (Bradenton, FL)                    ",,FL
185,Gage Keys,https://247sports.com/player/gage-keys-46059285/high-school,SDE ,0.8606," Hilliard Davidson (Hilliard, OH)                    ",,OH
186,Abner Dubar,https://247sports.com/player/abner-dubar-46055373/high-school,S ,0.8531," Anna (Anna, TX)                    ",,TX
187,Cody Lindenberg,https://247sports.com/player/cody-lindenberg-46083547/high-school,OLB ,0.8490000000000001," Anoka Senior (Anoka, MN)                    ",,MN
188,Tyrell Lawrence,https://247sports.com/player/tyrell-lawrence-46082453/high-school,OG ,0.8389," Clearwater Academy International (Clearwater, FL)                    ",,FL
189,Melle Kreuder,https://247sports.com/player/melle-kreuder-46085413/high-school,SDE ,0.8355," Germany (Germany, GERM)                    ",,GE
190,Mark Crawford,https://247sports.com/player/mark-crawford-46097530/high-school,P ,0.7996," Australia (Australia, AUST)                 ",,AU
257,Kobe Wilson,https://247sports.com/player/kobe-wilson-46077079/high-school,ILB ,0.8540000000000001," Parkview (Lilburn, GA)    ",,GA
258,Sam Davis,https://247sports.com/player/sam-davis-46076633/high-school,OG ,0.8444," Geneva (Geneva, OH)    ",,OH
259,Darian Varner,https://247sports.com/player/darian-varner-46084522/high-school,DT ,0.8395," Maury (Norfolk, VA)    ",,VA
260,Miles Zietek,https://247sports.com/player/miles-zietek-46083166/high-school,OT ,0.8281," Germany (Germany, GERM)    ",,GE
