player_id,name,team,url,position,score,hometown,state
58,Kenny Mestidor,UCLA,https://247sports.com/player/kenny-mestidor-46051999/high-school,WDE ,0.8721,Oakdale,CT
60,Myles Jackson,UCLA,https://247sports.com/player/myles-jackson-46056600/high-school,WDE ,0.8618,Hoschton,GA
61,Damian Sellers,UCLA,https://247sports.com/player/damian-sellers-46050068,OLB ,0.9224,Scottsdale,AZ
62,Parker McQuarrie,UCLA,https://247sports.com/player/parker-mcquarrie-46054816,PRO ,0.9077,Concord,NH
63,Jonathan Vaughns,UCLA,https://247sports.com/player/jonathan-vaughns-46047340,OLB ,0.8937,Bellflower,CA
64,Matt Sykes,UCLA,https://247sports.com/player/matt-sykes-46047043,WR ,0.8843,Honolulu,HI
65,Jay Max Jacobsen,UCLA,https://247sports.com/player/jay-max-jacobsen-46059397,SDE ,0.8681,Temecula,CA
66,Jake Newman,UCLA,https://247sports.com/player/jake-newman-46054045,S ,0.8585,Bellflower,CA
67,Bruno Fina,UCLA,https://247sports.com/player/bruno-fina-46082210,OG ,0.8559,Tucson,AZ
68,DJ Warnell,UCLA,https://247sports.com/player/dj-warnell-46049997,CB ,0.852,Dickinson,TX
69,Patrick Selna,UCLA,https://247sports.com/player/patrick-selna-46081611,OT ,0.8511,Oakland,CA
70,Ioholani Raass,UCLA,https://247sports.com/player/ioholani-raass-46079924,WDE ,0.8484,Lehi,UT
71,Jeremiah Trojan,UCLA,https://247sports.com/player/jeremiah-trojan-46051087,ILB ,0.8402,Chandler,AZ
72,Luke Akers,UCLA,https://247sports.com/player/luke-akers-46082154,K ,0.8317,Brentwood,TN
73,Joquarri Price,UCLA,https://247sports.com/player/joquarri-price-46084207,OLB ,0.8262,Mesa,AZ
74,Andrew Gentry,Virginia,https://247sports.com/player/andrew-gentry-46050894,OT ,0.963,Littleton,CO
75,Jonathan Horton,Virginia,https://247sports.com/player/jonathan-horton-46085249,WDE ,0.8983,Baton Rouge,LA
76,Brandon Williams,Virginia,https://247sports.com/player/brandon-williams-46055966,OLB ,0.8862,New Orleans,LA
77,Elijah Gaines,Virginia,https://247sports.com/player/elijah-gaines-46078864,S ,0.8776,Alexandria,VA
78,Donovan Johnson,Virginia,https://247sports.com/player/donovan-johnson-46055724,S ,0.8647,Harvey,LA
79,Jahmeer Carter,Virginia,https://247sports.com/player/jahmeer-carter-46048619,DT ,0.8633,Severn,MD
80,Olasunkonmi Agunloye,Virginia,https://247sports.com/player/olasunkonmi-agunloye-46084247,SDE ,0.8593,Lindenhurst,NY
81,Lavel Davis,Virginia,https://247sports.com/player/lavel-davis-46056594,WR ,0.8519,Dorchester,SC
82,Joshua Rawlings,Virginia,https://247sports.com/player/joshua-rawlings-46054410,TE ,0.8506,Pittsburgh,PA
83,Jestus Johnson,Virginia,https://247sports.com/player/jestus-johnson-46056369,OC ,0.8484,Washington,DC
84,Sam Brady,Virginia,https://247sports.com/player/sam-brady-46084040,OLB ,0.8464,Lincolnton,NC
85,Dave Herard,Virginia,https://247sports.com/player/dave-herard-46083131,CB ,0.8451,Fort Lauderdale,FL
86,Nusi Malani,Virginia,https://247sports.com/player/nusi-malani-46078804,SDE ,0.8444,San Mateo,CA
87,Ira Armstead,Virginia,https://247sports.com/player/ira-armstead-46051880,ATH ,0.8370000000000001,South Bend,IN
88,Demick Starling,Virginia,https://247sports.com/player/demick-starling-46094170,WR ,0.8114,Nashville,TN
89,Lorenz Terry,Virginia,https://247sports.com/player/lorenz-terry-46094196,SDE ,0.841,Richmond,VA
90,Tyler Berrong,Kent State,https://247sports.com/player/tyler-berrong-46042222,OLB ,0.8567,Port Orange,FL
91,CJ West,Kent State,https://247sports.com/player/cj-west-46081873,DT ,0.8473,La Grange Park,IL
92,Luke Floriea,Kent State,https://247sports.com/player/luke-floriea-46079610,WR ,0.8322,Mentor,OH
93,Michael West,Kent State,https://247sports.com/player/michael-west-46079704,WDE ,0.8286,Saint Louis,MO
94,Griffin Brewster,Kent State,https://247sports.com/player/griffin-brewster-94314,PRO ,0.8268,Rome,GA
95,Tyler Roberson,Kent State,https://247sports.com/player/tyler-roberson-46083799,SDE ,0.8227,Louisville,KY
96,Reignings Awah,Kent State,https://247sports.com/player/reignings-awah-46085085,WDE ,0.8154,Mississauga,ON
97,Jasper Robinson,Kent State,https://247sports.com/player/jasper-robinson-46056765,TE ,0.8118,Canton,OH
