team,conference,mascot,city,state
Texas A&M,SEC,Aggies,College Station,Texas
App State,Sun Belt,Mountaineers,Boone,North Carolina
Arkansas State,Sun Belt,Red Wolves,Jonesboro,Arkansas
Coastal Carolina,Sun Belt,Chanticleers,Conway,South Carolina
Georgia Southern,Sun Belt,Eagles,Statesboro,Georgia
Georgia State,Sun Belt,Panthers,Atlanta,Georgia
Arkansas (Little Rock),Sun Belt,Trojans,Little Rock,Arkansas
Louisiana-Lafayette,Sun Belt,Ragin'' Cajuns,Lafayette,Louisiana
Louisiana-Monroe,Sun Belt,Warhawks,Monroe,Louisiana
South Alabama,Sun Belt,Jaguars,Mobile,Alabama
Texas State,Sun Belt,Bobcats,San Marcos,Texas
UT Arlington,Sun Belt,Mavericks,Arlington,Texas
Troy,Sun Belt,Trojans,Troy,Alabama
